51,MON FILS A MOI,Fiction,2005,FOUGERON Martial,FRANCE 2 CINEMA / MOBY DICK FILMS / WHY NOT PRODUCTIONS
52,TEMPS DES PORTE-PLUMES (LE),Fiction,2005,DUVAL Daniel,CENTRE EUROPEEN CINEMATOGRAPHIQUE RHONE ALPES / ELIA FILMS / TF1 DROITS AUDIOVISUELS
53,AMOUR C'EST MIEUX A DEUX (L'),Fiction,2009,FARRUGIA Dominique / LEMORT Arnaud,FARRUDG ENTERTAINMENT WORLDWIDE / FRANCE 2 CINEMA / LES TROIS 8 / STUDIOCANAL
54,D'UN FILM A L'AUTRE,Documentaire,2009,LELOUCH Claude,LES FILMS 13
55,FILS A JO (LE),Fiction,2009,GUILLARD Philippe,GAUMONT / HATALOM / KL PRODUCTION / LGM CINEMA / TF1 FILMS PRODUCTION
56,LA NOSTRA VITA,Fiction,2009,LUCHETTI Daniele,BABE FILMS
57,MARIAGE A TROIS (LE),Fiction,2009,DOILLON Jacques,ALFAMA FILMS PRODUCTION / FRANCE 3 CINEMA
58,Q,Fiction,2009,BOUHNIK Laurent,ACAJOU FILMS / CLIMAX
59,REFUGE (LE),Fiction,2009,OZON Francois,EUROWIDE FILM PRODUCTION / FOZ / FRANCE 2 CINEMA
60,TOUTES LES FILLES PLEURENT,Fiction,2009,GODRECHE Judith,MOBY DICK FILMS
61,FRONTIeRE DE L'AUBE (LA),Fiction,2007,GARREL Philippe,RECTANGLE PRODUCTIONS
62,INCONNUE (L'),Fiction,2007,TORNATORE Giuseppe,MANIGOLDA FILM
63,JE NE VOUS OUBLIERAI JAMAIS,Fiction,2007,KANE Pascal,TITA PRODUCTIONS
64,JUSQU'A TOI,Fiction,2007,DEVOLDERE Jennifer,MARS FILMS / MARS FILMS / ORANGE STUDIO / TF1 FILMS PRODUCTION / YUME
65,NUIT CANNOISE,Fiction,2007,VANDELET Christian,CARTEL PRODUCTIONS
66,ULZHAN,Fiction,2007,SCHLONDORFF Volker,ARTE FRANCE CINEMA / SARL FLY TIMES PICTURES
67,UN BAISER S'IL VOUS PLAIT,Fiction,2007,MOURET Emmanuel,ARTE FRANCE CINEMA / MOBY DICK FILMS / TF1 DROITS AUDIOVISUELS
68,ASTeRIX AUX JEUX OLYMPIQUES,Fiction,2006,FORESTIER Frederic / LANGMANN Thomas,LA PETITE REINE / LA PETITE REINE / PATHE PRODUCTION / TF1 FILMS PRODUCTION
69,ENTRE ADULTES,Fiction,2006,BRIZE Stephane,LES FILMS 13
70,GRABUGE,Fiction,2006,MOCKY Jean-Pierre,MOCKY DELICIOUS PRODUCTS
71,POUR ALLER AU CIEL IL FAUT MOURIR,Fiction,2006,USMONOV Djamshed,ARTE FRANCE CINEMA / CINE MANUFACTURE / ELZEVIR FILMS
72,QUESTION HUMAINE (LA),Fiction,2006,KLOTZ Nicolas,SOPHIE DULAC PRODUCTIONS
73,TAXI 4,Fiction,2006,KRAWCZYK Gerard,APIPOULAI PROD / ARP / EUROPACORP / TF1 FILMS PRODUCTION
74,ALEXANDRE,Fiction,2003,STONE Oliver,FRANCE 2 CINEMA / FRANCE 3 CINEMA / PATHE PRODUCTION
75,DERNIER TRAPPEUR (LE),Documentaire,2003,VANIER Nicolas,MC4 / TF1 CINEMA (TIERS FERME) / TF1 DROITS AUDIOVISUELS
76,LUNDIS AU SOLEIL (LES),Fiction,2003,DE ARANOA Fernando Leon,QUO VADIS CINEMA (TIERS FERME)
77,RIPOUX 3,Fiction,2003,ZIDI Claude,CPZ PRODUCTIONS / FRENCH DISTRIBUTION / GAUMONT / PLAZA PRODUCTION INTERNATIONAL (TIERS FERME) / TF1 FILMS PRODUCTION TELEVISION FRANCAISE 1 FILMS PRODUCTION
78,TENJA,Fiction,2003,LEGZOULI Hassan,WHY NOT PRODUCTIONS
79,AFRICAN SAFARI 3D,Documentaire,2012,STASSEN Ben,STUDIOCANAL
80,BEAUTE; L'ART RESCAPE DES CAMPS NAZIS (LA),Documentaire,2012,COGNET Christophe,LA HUIT PRODUCTION
81,CAUGHT IN FLIGHT,Fiction,2012,HIRSCHBIEGEL Oliver,LE PACTE
82,CHEZ NOUS C'EST TROIS,Fiction,2012,DUTY Claude,LOCAL FILMS / TROMPE LE MONDE
83,COEUR DES HOMMES 3 (LE),Fiction,2012,ESPOSITO Marc,FRANCE 2 CINEMA / PIERRE JAVAUX PRODUCTIONS / WAYAN PRODUCTIONS
84,DERNIERE FOIS QUE J'AI VI MACAO (LA),Documentaire,2012,RODRIGUES Joao Pedro / GUERRA DA MATA Joao Rui,EPICENTRE FILMS
85,EASTERN BOYS,Fiction,2012,CAMPILLO Robin,LES FILMS DE PIERRE
