Cunningham aka Cunningham 3D,Docu,2018,KOVGAN Alla,ARSAM INTERNATIONAL
Magic 7,Fiction,2018,KRAWCZYK Gerard,ADNP ET PROFIDEV
Touch me not,Fiction,2018,PINTILIE Adina,LES FILMS DE L'ETRANGER
Walter,Fiction,2018,SOUDJIAN Varante,VERTIGO PRODUCTIONS
Anna,Fiction,2017,BESSON Luc,EUROPACORP
Gauguin,Fiction,2017,DELUC Edouard,MOVE MOVIE
Meltem,Fiction,2017,DOGANIS Basile,ELZeVIR FILMS
Plein la vue !,Fiction,2017,LYON Philippe,LAS NINAS PICTURES
Sage femme,Fiction,2017,PROVOST Martin,CURIOSA FILMS
Tout l'or du monde,Docu,2017,CACCIA Andrea,PICOFILMS
Une part d'ombre,Fiction,2017,TILMAN Samuel,GOOD FORTUNE FILMS ET URBAN FACTORY
Vigile,Fiction,2017,BENSAIDI Faouzi,BARNEY PRODUCTION
Dans la tete d'Alain Ducasse,Docu,2016,DE MAISTRE Gilles,OUTSIDE FILMS
Happy end,Fiction,2016,HANEKE Michael,LES FILMS DU LOSANGE
Luna,Fiction,2016,DIRINGER Elsa,EX NIHILO
Paranoia Park,Fiction,2016,MERCIER Bruno,LES MURES SAUVAGES
Rodin,Fiction,2016,DOILLON Jacques,LES FILMS DU LENDEMAIN
Sales gosses,Fiction,2016,QUIRING Frederic,LES FILMS DU 24
Tazzeka,Fiction,2016,GAUD Jean-Paul,TAKKA FILMS
Un sac de billes,Fiction,2016,DUGUAY Christian,MITICO
Wallaye !,Fiction,2016,GOLDBLAT Berni,BATHYSPHERE PRODUCTIONS
Ana mon amour,Fiction,2016,NETZER Calin Peter,SOPHIE DULAC PRODUCTIONS
Something useful,Fiction,2016,ESMER Pelin,LES FILMS DE L'APRES MIDI
AU BOUT DU MONDE A GAUCHE,Fiction,2003,NESHER Avi,DAVIS FILMS
CARLITOS 13 MEDELLIN,Documentaire,2003,SAUVAIRE Jean-Stephane,KILLERS FILM
SALVADOR ALLENDE,Documentaire,2003,GUZMAN Patricio,JBA PRODUCTION
STRATOSPHeRE GIRL,Fiction,2003,OBERG Matthias X.,PARADIS FILMS
ESSAYE-MOI,Fiction,2005,MARTIN LAVAL Pierre-Francois,ARP
UN PRINTEMPS A PARIS,Fiction,2004,BRAL Jacques,THUNDER FILMS INTERNATIONAL
419,Fiction,2013,BARTONIO Eric,ADHESIVE PRODUCTION
