118,2,ST Quentin,FRANCE,,2100,118
119,13,MALLEMORT,FRANCE,,13370,119
120,79,MELLERAN,FRANCE,,79190,120
121,71,VERJUX,FRANCE,,71590,121
122,77,ST MAMMES,FRANCE,,77670,122
123,59, DUNKERQUE,FRANCE,,59430,123
124,66,CASES DE PENE,FRANCE,,66600,124
125,69, VILLEFRANCHE SUR SAONE,FRANCE,,69400,125
126,17, LA ROCHELLE,FRANCE,,17000,126
127,78,Mantes la Ville,FRANCE,,78711,127
128,38,VOIRON,FRANCE,,38500,128
129,5,ASPRES SUR BUECH,FRANCE,,5140,129
130,15,ST FLOUR,FRANCE,,15100,130
131,38,Le Grand Lemps,FRANCE,,38690,131
132,37,AVOINE,FRANCE,,37420,132
133,34, SETE,FRANCE,,34200,133
134,41,Chambord,FRANCE,,41250,134
135,77,CHESSY,FRANCE,,77700,135
136,91,CHAMARANDE,FRANCE,,91730,136
137,69,ORLIENAS,FRANCE,,69530,137
138,31,Flourens,FRANCE,,31130,138
139,30,Roquemaure,FRANCE,,30150,139
140,33,Langon,FRANCE,,33210,140
141,85,ST MALO DU BOIS,FRANCE,,85590,141
142,21,NUITS ST GEORGES,FRANCE,,21700,142
143,73, CHAMBERY,FRANCE,,73000,143
144,7,VIVIERS,FRANCE,,7220,144
145,13,Trets,FRANCE,,13790,145
146,26,ROMANS SUR ISERE,FRANCE,,26100,146
147,13, AIX EN PROVENCE,FRANCE,,13290,147
148,26,MONTELEGER,FRANCE,,26760,148
149,26,CHAROLS,FRANCE,,26450,149
150,1,VILLARS LES DOMBES,FRANCE,,1330,150
151,10,Aix en Othe,FRANCE,,10190,151
152,29, BREST,FRANCE,,29200,152
153,59,BAILLEUL,FRANCE,,59270,153
154,79,BRIOUX SUR BOUTONNE,FRANCE,,79170,154
155,44,ST COLOMBAN,FRANCE,,44310,155
156,84,Pernes Les Fontaines,FRANCE,,84210,156
157,71,LA CLAYETTE,FRANCE,,71800,157
158,1,VIRIAT,FRANCE,,1440,158
159,6,MOUANS SARTOUX,FRANCE,,6370,159
160,6,Sospel,FRANCE,,6380,160
161,7,ST Peray,FRANCE,,7130,161
162,39,ST JULIEN,FRANCE,,39320,162
163,44,MOUZILLON,FRANCE,,44330,163
164,77,VOULANGIS,FRANCE,,77580,164
165,33,ST Jean d Illac,FRANCE,,33127,165
166,84, AVIGNON,FRANCE,,84140,166
167,74,THONON LES BAINS,FRANCE,,74200,167
168,76,ST AUBIN SUR MER,FRANCE,,76740,168
169,43,LE PUY EN VELAY,FRANCE,,43000,169
170,67,NEUVE EGLISE,FRANCE,,67220,170
171,47,Couthures sur Garonne,FRANCE,,47180,171
172,53,LASSAY LES CHATEAUX,FRANCE,,53110,172
173,30, NIMES,FRANCE,,30900,173
174,30,Le VIGAN,FRANCE,,30120,174
175,13,Le Puy Ste Reparade,FRANCE,,13610,175
176,30,ST JEAN DU PIN,FRANCE,,30140,176
177,73,BOURG ST MAURICE,FRANCE,,73700,177
178,70,LUXEUIL LES BAINS,FRANCE,,70300,178
179,63,AMBERT,FRANCE,,63600,179
180,38,VIENNE,FRANCE,,38200,180
181,1,Oyonnax,FRANCE,,1100,181
182,6,VENCE,FRANCE,,6140,182
183,3,GANNAT,FRANCE,,3800,183
184,25,LANDRESSE,FRANCE,,25530,184
185,89,PONT SUR YONNE,FRANCE,,89140,185
186,79,AIRVAULT,FRANCE,,79600,186
187,32,FLEURANCE,FRANCE,,32500,187
188,66, PERPIGNAN,FRANCE,,66000,188
189,87, LIMOGES,FRANCE,,87280,189
190,72,Chantenay Villedieu,FRANCE,,72430,190
191,38,Chirens,FRANCE,,38850,191
192,24,PERIGUEUX,FRANCE,,24000,192
193,6,MENTON,FRANCE,,6500,193
194,36,ARGENTON SUR CREUSE,FRANCE,,36200,194
195,46,Gignac,FRANCE,,46600,195
196,49,DOUE LA FONTAINE,FRANCE,,49700,196
197,5,LA GRAVE,FRANCE,,5320,197
198,17,ST FELIX,FRANCE,,17330,198
199,87,ROCHECHOUART,FRANCE,,87600,199
200,33,CREON,FRANCE,,33670,200
201,30,BARJAC,FRANCE,,30430,201
202,20,Erbalunga,FRANCE,,20222,202
203,67,NIEDERBRONN LES BAINS,FRANCE,,67110,203
204,73,LES ECHELLES,FRANCE,,73360,204
205,56,MALESTROIT,FRANCE,,56140,205
206,29,Plougonvelin,FRANCE,,29217,206
207,84, CARPENTRAS,FRANCE,,84200,207
208,74,Talloires Montmin,FRANCE,,74210,208
209,56,LE PALAIS,FRANCE,,56360,209
210,84, APT,FRANCE,,84400,210
211,87,SAILLAT SUR VIENNE,FRANCE,,87720,211
212,56,BANGOR,FRANCE,,56360,212
213,17,Cercoux,FRANCE,,17270,213
214,71,Buxy,FRANCE,,71390,214
215,47,AGEN,FRANCE,,47000,215
216,46,Concores,FRANCE,,46310,216
217,13,ST Marc Jaumegarde,FRANCE,,13100,217
218,1,FAREINS,FRANCE,,1480,218
219,4,MANOSQUE,FRANCE,,4100,219
220,91,PALAISEAU,FRANCE,,91120,220
221,76,Darnetal,FRANCE,,76160,221
222,10, TROYES,FRANCE,,10000,222
223,13, ARLES,FRANCE,,13123,223
224,38, GRENOBLE,FRANCE,,38000,224
225,52,MONTIER EN DER,FRANCE,,52220,225
226,30,PONT ST ESPRIT,FRANCE,,30130,226
227,1, BOURG EN BRESSE,FRANCE,,1000,227
228,34,PEZENAS,FRANCE,,34120,228
229,974,ST Philippe,FRANCE,,97442,229
230,17,JONZAC,FRANCE,,17500,230
231,971,POINT A PITRE,FRANCE,,97110,231
232,52,Nogent,FRANCE,,52800,232
233,54, NANCY,FRANCE,,54000,233
